Star Number,Star Name,Durchmusterung Identification,RA (degrees),Dec (degrees),Parallax (arsec),Distance (parsecs),X (parsecs),Y (parsecs),Z (parsecs)
222,,BD+04  123,0.8063888888888889,5.280555555555556,0.145,6.8965517241379315,6.866602550652535,0.09664791507605973,0.6347080238924128
224,63Del Psc,BD+06  107,0.8113888888888889,7.585,0.019,52.631578947368425,52.16582827506028,0.7387909460282777,6.947204531900889
225,64    Psc,BD+16   76,0.8163055555555556,16.940555555555555,0.047,21.27659574468085,20.351287047120575,0.28996887653023756,6.199561279551751
230,65    Psc,BD+26  131,0.8313333333333334,27.710833333333333,0.011,90.90909090909092,80.47386642398939,1.1677178205835224,42.27358593475082
231,65    Psc,BD+26  131,0.8314444444444444,27.710277777777776,0.011,90.90909090909092,80.47427400865138,1.1678798278295217,42.27280555399186
235,19Phi2Cet,BD-11  153,0.8354444444444444,-10.644444444444444,0.065,15.384615384615383,15.118275179212105,0.22045906917327987,-2.8417501538634244
236,Lam Hyi,CP-75   64,0.8098333333333334,-74.92333333333333,0.025,40.0,10.403412915106088,0.1470543156698755,-38.62314558326454
242,Rho Phe,CD-51  209,0.8447777777777778,-50.98694444444445,0.005,200.0,125.88580701405813,1.8562141929339955,-155.4005085618746
244,,BD+60  124,0.8844722222222222,61.12416666666667,0.066,15.15151515151515,7.315993062121502,0.11294560857643024,13.267701390636079
253,26Ups1Cas,BD+58  134,0.9166944444444444,58.97277777777778,0.006,166.66666666666666,85.8965502925023,1.3744050691432945,142.82041673490284
254,66    Psc,BD+18  122,0.9097777777777778,19.188333333333333,0.014,71.42857142857143,67.45173257708761,1.071130296746828,23.476738882625483
264,27Gam Cas,BD+59  144,0.9451388888888889,60.71666666666667,0.016,62.5,30.56638807784584,0.5042623204952907,54.51322444496062
265,28Ups2Cas,BD+58  138,0.9443888888888889,59.18111111111111,0.051,19.607843137254903,10.044243540940561,0.16557120247651852,16.839040066535222
267,22Phi3Cet,BD-12  162,0.93375,-11.266666666666667,0.009,111.11111111111111,108.95536168935045,1.7758040412372347,-21.7084014035034
269,37Mu  And,BD+37  175,0.9458888888888889,38.49944444444444,0.039,25.641025641025642,20.064296084925065,0.3312690610066826,15.961719185269953
270,Lam2Tuc,CP-70   40,0.91675,-69.52694444444444,0.035,28.57142857142857,9.992059528269948,0.1598896538715232,-26.766765069659414
271,38Eta And,BD+22  153,0.9534444444444444,23.4175,0.009,111.11111111111111,101.9451367733625,1.6965996108399757,44.15868714496152
284,,BD+05  131,0.9971388888888888,6.483055555555556,0.001,1000.0,993.4548243219784,17.291194419667086,112.90937351224774
288,Xi  Scl,CD-39  260,1.02175,-38.916666666666664,0.034,29.41176470588235,22.880492217781715,0.4080688249138116,-18.476159200990622
289,,BD+46  243,1.0504166666666668,47.376111111111115,0.012,83.33333333333333,56.422418260895796,1.0345210404784306,61.317900553213526
294,71Eps Psc,BD+07  153,1.0490555555555556,7.89,0.027,37.03703703703704,36.68027443516729,0.6716715700629111,5.084135830761759
299,,CD-47  313,1.0470000000000002,-46.3975,0.025,40.0,27.581439943387647,0.50406823374353,-28.965670816762234
306,,BD+86   17,1.2704166666666665,87.14527777777778,0.011,90.90909090909092,4.526495258735635,0.10038222099375184,90.79627511081999
321,30Mu  Cas,BD+54  223,1.137888888888889,54.92027777777778,0.136,7.352941176470588,4.22501710756103,0.08391948285432803,6.01730271017262
322,Bet Phe,CD-47  324,1.101388888888889,-46.718611111111116,0.021,47.61904761904761,32.640726388731714,0.6275254898186962,-34.66645191998605
324,41    And,BD+43  234,1.1335833333333334,43.94194444444444,0.031,32.25806451612903,23.222657412173067,0.45951469713438403,22.38481081641531
330,80    Psc,BD+04  190,1.1395,5.649722222222222,0.036,27.77777777777778,27.637376154234012,0.5497253585654287,2.7346260459397826
331,Ups Phe,CD-42  391,1.1299722222222222,-41.48694444444445,0.014,71.42857142857143,53.49721506667538,1.0551947464841913,-47.317812296041375
332,Iot Tuc,CP-62   89,1.1218611111111112,-61.775277777777774,0.033,30.3030303030303,14.328495011896273,0.2805902289319513,-26.699983995573184
334,31Eta Cet,BD-10  240,1.1431666666666667,-10.182222222222222,0.041,24.390243902439025,24.001331860651636,0.47893866105402594,-4.311691581535074
335,42Phi And,BD+46  275,1.1583888888888887,47.24194444444444,0.003,333.3333333333333,226.255077833256,4.574980682776745,244.7423551768892
336,31    Cas,BD+68   77,1.1775833333333334,68.7786111111111,0.017,58.8235294117647,21.28800817868238,0.4375877976824544,54.83463173178442
337,43Bet And,BD+34  198,1.1621944444444443,35.620555555555555,0.049,20.408163265306122,16.586217151665934,0.33648296188163,11.886013111112419
343,33The Cas,BD+54  236,1.1850555555555555,55.14972222222222,0.014,71.42857142857143,40.807978131415766,0.844156738003799,58.61772032887416
348,45    And,BD+36  201,1.1861944444444446,37.72416666666667,0.003,333.3333333333333,263.5986748103617,5.458062825271031,203.95357143116587
351,84Chi Psc,BD+20  172,1.1908888888888889,21.034722222222225,0.015,66.66666666666667,62.210764836707604,1.2932327619521706,23.92890996054196
352,83Tau Psc,BD+29  190,1.1943333333333332,30.08972222222222,0.023,43.47826086956522,37.61101714548475,0.7841170703571732,21.79806683960742
360,85Phi Psc,BD+23  158,1.229138888888889,24.58361111111111,0.007,142.85714285714286,129.8779864864798,2.7866376706118126,59.43152818173717
361,86Zet Psc,BD+06  174,1.2288611111111112,7.575277777777777,0.026,38.46153846153846,38.11709727939298,0.8176483940806726,5.070334005304991
362,86Zet Psc,BD+06  175,1.2292500000000002,7.578333333333333,0.026,38.46153846153846,38.1168213384388,0.8179013077555704,5.072367231649386
366,37    Cet,BD-08  216,1.24,-7.923055555555556,0.056,17.857142857142858,17.68253804892899,0.3827467100395537,-2.4614841304669564
368,38    Cet,BD-01  162,1.247,-0.9738888888888889,0.028,35.714285714285715,35.70066953466525,0.7771212098634205,-0.6070267567719101
